"FDCOUK","City","Stadium","Capacity","Latitude","Longitude","League","Year","details"
"AFC Wimbledon",NA,NA,NA,NA,NA,"England League1",1920," - NA - NA"
"AZ Alkmaar",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Aberdeen","Aberdeen","Pittodrie Stadium",22199,57.159167,-2.088889,"Scotland Prem",1920," - Pittodrie Stadium - 22199"
"Accrington",NA,NA,NA,NA,NA,"England League1",1920," - NA - NA"
"Ajaccio","Ajaccio","Stade François Coty",10660,41.931081,8.776725,"France2",1920," - Stade François Coty - 10660"
"Ajax",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Alanyaspor",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Alaves",NA,NA,NA,NA,NA,"Spain1",1920," - NA - NA"
"Albacete",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"Alcorcon",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"Almeria","Almería","Estadio del Mediterráneo",22000,36.84,-2.435278,"Spain2",1920," - Estadio del Mediterráneo - 22000"
"Amiens",NA,NA,NA,NA,NA,"France1",1920," - NA - NA"
"Anderlecht",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Angers",NA,NA,NA,NA,NA,"France1",1920," - NA - NA"
"Ankaragucu",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Antalyaspor",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Antwerp",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Arsenal","London","Emirates Stadium",60361,51.555,-0.108611,"England Prem",1920," - Emirates Stadium - 60361"
"Ascoli",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Aston Villa","Birmingham","Villa Park",42785,52.509167,-1.884722,"England Prem",1920," - Villa Park - 42785"
"Atalanta",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Ath Bilbao","Bilbao","San Mamés",53332,43.264284,-2.950366,"Spain1",1920," - San Mamés - 53332"
"Ath Madrid","Madrid","Vicente Calderón",54851,40.401719,-3.720606,"Spain1",1920," - Vicente Calderón - 54851"
"Augsburg","Augsburg","SGL arena",30660,48.3225,10.882222,"Germany1",1920," - SGL arena - 30660"
"Auxerre","Auxerre","Stade de l'Abbé-Deschamps",24493,47.786753,3.588664,"France2",1920," - Stade de l'Abbé-Deschamps - 24493"
"Aves",NA,NA,NA,NA,NA,"Portugal1",1920," - NA - NA"
"Barcelona","Barcelona","Camp Nou",99354,41.38087,2.122802,"Spain1",1920," - Camp Nou - 99354"
"Barnsley","Barnsley","Oakwell",23009,53.552222,-1.4675,"England Champ",1920," - Oakwell - 23009"
"Bayern Munich","Munich","Allianz Arena",71000,48.218775,11.624753,"Germany1",1920," - Allianz Arena - 71000"
"Belenenses",NA,NA,NA,NA,NA,"Portugal1",1920," - NA - NA"
"Benevento",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Benfica",NA,NA,NA,NA,NA,"Portugal1",1920," - NA - NA"
"Besiktas",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Betis","Seville","Benito Villamarín",52500,37.356389,-5.981389,"Spain1",1920," - Benito Villamarín - 52500"
"Bielefeld",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Birmingham","Birmingham","St Andrew's Stadium",30079,52.475703,-1.868189,"England Champ",1920," - St Andrew's Stadium - 30079"
"Blackburn","Blackburn","Ewood Park",31154,53.728611,-2.489167,"England Champ",1920," - Ewood Park - 31154"
"Blackpool","Blackpool","Bloomfield Road",16220,53.804722,-3.048056,"England League1",1920," - Bloomfield Road - 16220"
"Boavista",NA,NA,NA,NA,NA,"Portugal1",1920," - NA - NA"
"Bochum",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Bologna",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Bolton","Bolton","Reebok Stadium",28100,53.580556,-2.535556,"England League1",1920," - Reebok Stadium - 28100"
"Bordeaux","Bordeaux","Stade Chaban-Delmas",34462,44.829167,-0.597778,"France1",1920," - Stade Chaban-Delmas - 34462"
"Bournemouth",NA,NA,NA,NA,NA,"England Prem",1920," - NA - NA"
"Bradford",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Brentford",NA,NA,NA,NA,NA,"England Champ",1920," - NA - NA"
"Brescia",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Brest","Brest","Stade Francis-Le Blé",16000,48.402932,-4.461694,"France1",1920," - Stade Francis-Le Blé - 16000"
"Brighton","Brighton","American Express Community Stadium",22374,50.861822,-0.083278,"England Prem",1920," - American Express Community Stadium - 22374"
"Bristol City","Bristol","Ashton Gate",21497,51.44,-2.620278,"England Champ",1920," - Ashton Gate - 21497"
"Bristol Rvs",NA,NA,NA,NA,NA,"England League1",1920," - NA - NA"
"Burnley","Burnley","Turf Moor",22546,53.789167,-2.230278,"England Prem",1920," - Turf Moor - 22546"
"Burton",NA,NA,NA,NA,NA,"England League1",1920," - NA - NA"
"Buyuksehyr",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Cadiz",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"Caen","Caen","Stade Michel d'Ornano",21500,49.179461,-0.396767,"France2",1920," - Stade Michel d'Ornano - 21500"
"Cagliari",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Cambridge",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Cardiff","Cardiff","Cardiff City Stadium",26828,51.472778,-3.203056,"England Champ",1920," - Cardiff City Stadium - 26828"
"Carlisle",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Celta","Vigo","Balaídos",31800,42.211842,-8.739711,"Spain1",1920," - Balaídos - 31800"
"Celtic","Glasgow","Celtic Park",60832,55.849711,-4.205589,"Scotland Prem",1920," - Celtic Park - 60832"
"Cercle Brugge",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Chambly",NA,NA,NA,NA,NA,"France2",1920," - NA - NA"
"Charleroi",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Charlton",NA,NA,NA,NA,NA,"England Champ",1920," - NA - NA"
"Chateauroux",NA,NA,NA,NA,NA,"France2",1920," - NA - NA"
"Chelsea","London","Stamford Bridge",42449,51.481667,-0.191111,"England Prem",1920," - Stamford Bridge - 42449"
"Cheltenham",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Chievo",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Cittadella",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Clermont",NA,NA,NA,NA,NA,"France2",1920," - NA - NA"
"Club Brugge",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Colchester",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Cosenza",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Coventry","Coventry","Ricoh Arena",32609,52.448056,-1.495556,"England League1",1920," - Ricoh Arena - 32609"
"Crawley Town",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Cremonese",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Crewe",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Crotone",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Crystal Palace","London","Selhurst Park",26309,51.398333,-0.085556,"England Prem",1920," - Selhurst Park - 26309"
"Darmstadt",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Den Haag",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Denizlispor",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Derby","Derby","Pride Park Stadium",33597,52.915,-1.447222,"England Champ",1920," - Pride Park Stadium - 33597"
"Dijon","Dijon","Stade Gaston Gérard",15998,47.324383,5.068342,"France1",1920," - Stade Gaston Gérard - 15998"
"Doncaster","Doncaster","Keepmoat Stadium",15231,53.509722,-1.113889,"England League1",1920," - Keepmoat Stadium - 15231"
"Dortmund","Dortmund","Signal Iduna Park",80645,51.492569,7.451842,"Germany1",1920," - Signal Iduna Park - 80645"
"Dresden",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Eibar",NA,NA,NA,NA,NA,"Spain1",1920," - NA - NA"
"Ein Frankfurt","Frankfurt","Commerzbank-Arena",51500,50.068572,8.645458,"Germany1",1920," - Commerzbank-Arena - 51500"
"Elche","Elche","Martínez Valero",36017,38.266944,-0.663333,"Spain2",1920," - Martínez Valero - 36017"
"Empoli",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Erzgebirge Aue",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Espanol","Cornellà de Llobregat","Cornellà-El Prat",40500,41.347861,2.075667,"Spain1",1920," - Cornellà-El Prat - 40500"
"Eupen",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Everton","Liverpool","Goodison Park",40157,53.438889,-2.966389,"England Prem",1920," - Goodison Park - 40157"
"Exeter",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Extremadura UD",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"FC Emmen",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"FC Koln","Cologne","RheinEnergieStadion",50000,50.933497,6.874997,"Germany1",1920," - RheinEnergieStadion - 50000"
"Famalicao",NA,NA,NA,NA,NA,"Portugal1",1920," - NA - NA"
"Fenerbahce",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Feyenoord",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Fiorentina",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Fleetwood Town",NA,NA,NA,NA,NA,"England League1",1920," - NA - NA"
"For Sittard",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Forest Green",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Fortuna Dusseldorf","Düsseldorf","Esprit Arena",54600,51.261667,6.733056,"Germany1",1920," - Esprit Arena - 54600"
"Freiburg","Freiburg","MAGE SOLAR Stadion",24000,47.988889,7.893056,"Germany1",1920," - MAGE SOLAR Stadion - 24000"
"Frosinone",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Fuenlabrada",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"Fulham","London","Craven Cottage",25700,51.475,-0.221667,"England Champ",1920," - Craven Cottage - 25700"
"Galatasaray",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Gaziantep",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Genclerbirligi",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Genk",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Genoa",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Gent",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"Getafe","Getafe","Coliseum Alfonso Pérez",17700,40.325556,-3.714722,"Spain1",1920," - Coliseum Alfonso Pérez - 17700"
"Gil Vicente",NA,NA,NA,NA,NA,"Portugal1",1920," - NA - NA"
"Gillingham",NA,NA,NA,NA,NA,"England League1",1920," - NA - NA"
"Girona",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"Goztep",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Granada","Granada","Nuevo Los Cármenes",22524,37.152967,-3.595736,"Spain1",1920," - Nuevo Los Cármenes - 22524"
"Grenoble",NA,NA,NA,NA,NA,"France2",1920," - NA - NA"
"Greuther Furth","Fürth","Trolli Arena",18000,49.486944,10.999167,"Germany2",1920," - Trolli Arena - 18000"
"Grimsby",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
"Groningen",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Guimaraes",NA,NA,NA,NA,NA,"Portugal1",1920," - NA - NA"
"Guingamp","Guingamp","Stade du Roudourou",18126,48.566285,-3.164599,"France2",1920," - Stade du Roudourou - 18126"
"Hamburg","Hamburg","Imtech Arena",57000,53.587158,9.898617,"Germany2",1920," - Imtech Arena - 57000"
"Hamilton","Hamilton","New Douglas Park",6078,55.782156,-4.058503,"Scotland Prem",1920," - New Douglas Park - 6078"
"Hannover","Hanover","HDI-Arena",49000,52.360067,9.731197,"Germany2",1920," - HDI-Arena - 49000"
"Hearts","Edinburgh","Tynecastle Stadium",17420,55.939167,-3.232222,"Scotland Prem",1920," - Tynecastle Stadium - 17420"
"Heerenveen",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Heidenheim",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Heracles",NA,NA,NA,NA,NA,"Netherlands1",1920," - NA - NA"
"Hertha","Berlin","Olympiastadion",74244,52.514722,13.239444,"Germany1",1920," - Olympiastadion - 74244"
"Hibernian","Edinburgh","Easter Road",20421,55.961667,-3.165556,"Scotland Prem",1920," - Easter Road - 20421"
"Hoffenheim","Sinsheim","Rhein-Neckar Arena",30150,49.239008,8.888281,"Germany1",1920," - Rhein-Neckar Arena - 30150"
"Holstein Kiel",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Huddersfield",NA,NA,NA,NA,NA,"England Champ",1920," - NA - NA"
"Huesca",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"Hull","Kingston upon Hull","KC Stadium",25404,53.746111,-0.367778,"England Champ",1920," - KC Stadium - 25404"
"Inter",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Ipswich","Ipswich","Portman Road",30311,52.055061,1.144831,"England League1",1920," - Portman Road - 30311"
"Juve Stabia",NA,NA,NA,NA,NA,"Italy2",1920," - NA - NA"
"Juventus",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Karlsruhe",NA,NA,NA,NA,NA,"Germany2",1920," - NA - NA"
"Kasimpasa",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Kayserispor",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Kilmarnock","Kilmarnock","Rugby Park",18128,55.604225,-4.508122,"Scotland Prem",1920," - Rugby Park - 18128"
"Konyaspor",NA,NA,NA,NA,NA,"Turkey1",1920," - NA - NA"
"Kortrijk",NA,NA,NA,NA,NA,"Belguim1",1920," - NA - NA"
"La Coruna","A Coruña","Riazor",34600,43.368714,-8.417516,"Spain2",1920," - Riazor - 34600"
"Las Palmas",NA,NA,NA,NA,NA,"Spain2",1920," - NA - NA"
"Lazio",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Le Havre",NA,NA,NA,NA,NA,"France2",1920," - NA - NA"
"Le Mans",NA,NA,NA,NA,NA,"France2",1920," - NA - NA"
"Lecce",NA,NA,NA,NA,NA,"Italy1",1920," - NA - NA"
"Leeds","Leeds","Elland Road",39460,53.777778,-1.572222,"England Champ",1920," - Elland Road - 39460"
"Leganes",NA,NA,NA,NA,NA,"Spain1",1920," - NA - NA"
"Leicester","Leicester","King Power Stadium",32500,52.620278,-1.142222,"England Prem",1920," - King Power Stadium - 32500"
"Lens",NA,NA,NA,NA,NA,"France2",1920," - NA - NA"
"Levante","Valencia","Ciutat de València",25534,39.494722,-0.364167,"Spain1",1920," - Ciutat de València - 25534"
"Leverkusen","Leverkusen","BayArena",30210,51.038256,7.002206,"Germany1",1920," - BayArena - 30210"
"Leyton Orient",NA,NA,NA,NA,NA,"England League2",1920," - NA - NA"
